"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 08:46:05 GMT 2023","Tue Apr 25 08:46:13 GMT 2023","8060","","verify by validating all the basic validations along with the window alerts","","","","verify window alerts",""
"broken","Wed Apr 19 10:58:07 GMT 2023","Wed Apr 19 10:58:08 GMT 2023","1194","","verify by filling the form with valid and invalid cases","","","","verify by passing valid details using css selector by driving data through fixture",""
